id,treat,pride_CL,energy,pride_sym,pride_dev,pride_pl,pride_esf,gender,age,geozone,zone1,zone2,zone3,zone4,edu,edu1,edu2,edu3,household,household1,household2,household3,household4,sample,webal
5984,0,5,6,6,5,6,0,Male,43,North,1,0,0,0,3,0,0,1,Three,0,0,1,0,1,2.147903556388215
6625,1,5,7,7,6,5,0,Male,35,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
7788,1,5,7,6,4,7,1,Male,51,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
6817,1,1,7,1,5,4,1,Female,37,North,1,0,0,0,3,0,0,1,One,1,0,0,0,1,1
6491,1,5,7,2,2,1,0,Female,47,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
6698,1,1,3,7,4,5,0,Female,50,South,0,0,0,1,1,1,0,0,Two,0,1,0,0,1,1
6758,1,1,2,3,1,2,0,Female,26,Center,0,1,0,0,3,0,0,1,Three,0,0,1,0,1,1
7550,1,3,6,7,6,6,0,Male,62,North,1,0,0,0,3,0,0,1,Three,0,0,1,0,1,1
7644,1,1,4,1,1,3,0,Male,65,South,0,0,0,1,3,0,0,1,One,1,0,0,0,1,1
6323,1,3,6,2,2,5,1,Male,44,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
5792,0,5,6,6,5,7,0,Female,35,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,2.5994050110025
6910,1,3,4,1,1,2,0,Male,37,South,0,0,0,1,3,0,0,1,Three,0,0,1,0,1,1
6430,1,4,5,7,1,3,1,Male,26,North,1,0,0,0,2,0,1,0,Two,0,1,0,0,1,1
6087,0,5,6,7,5,5,1,Female,29,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,2.135939256403011
7286,1,4,6,5,5,5,0,Male,45,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
7044,1,6,7,1,3,6,0,Female,62,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
6956,1,1,1,5,4,5,1,Male,47,North,1,0,0,0,1,1,0,0,Three,0,0,1,0,1,1
6466,1,2,7,1,7,7,0,Female,50,North,1,0,0,0,2,0,1,0,Two,0,1,0,0,1,1
5886,0,7,5,7,5,7,0,Male,25,North,1,0,0,0,1,1,0,0,One,1,0,0,0,1,3.075883209795381
7204,1,4,6,3,1,4,0,Male,48,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
5997,0,5,7,6,5,5,0,Female,44,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,2.491971679437367
7152,1,4,5,6,5,6,0,Male,50,South,0,0,0,1,2,0,1,0,One,1,0,0,0,1,1
6376,1,5,5,6,6,5,0,Male,25,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
7496,1,4,7,5,4,7,0,Male,40,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
5920,0,4,3,7,6,5,0,Female,30,North,1,0,0,0,2,0,1,0,Four or more,0,0,0,1,1,2.433782032916417
6302,1,3,6,3,3,6,0,Male,69,North,1,0,0,0,3,0,0,1,One,1,0,0,0,1,1
6908,1,4,1,7,6,7,0,Male,78,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
7551,1,5,5,7,3,5,1,Female,18,South,0,0,0,1,1,1,0,0,Two,0,1,0,0,1,1
7382,1,1,5,7,4,7,0,Female,48,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,1
7524,1,3,7,3,4,4,0,Male,42,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,1
6018,0,6,7,6,5,7,1,Female,45,Metropolitan Region,0,0,1,0,2,0,1,0,Four or more,0,0,0,1,1,2.634717231815231
6646,1,5,6,6,5,6,0,Female,65,Metropolitan Region,0,0,1,0,3,0,0,1,Two,0,1,0,0,1,1
7078,1,7,4,7,5,7,0,Male,48,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,1
5919,0,7,7,7,5,7,1,Male,63,South,0,0,0,1,3,0,0,1,One,1,0,0,0,1,2.458212677029763
6434,1,5,6,7,5,5,0,Female,66,Metropolitan Region,0,0,1,0,2,0,1,0,Two,0,1,0,0,1,1
7563,1,5,6,6,4,6,0,Female,42,Metropolitan Region,0,0,1,0,2,0,1,0,Four or more,0,0,0,1,1,1
6405,1,7,7,7,4,6,1,Female,54,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,1
6723,1,6,5,7,3,4,0,Female,19,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
6420,1,5,7,4,3,5,0,Male,55,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
6119,0,3,2,7,1,4,0,Female,40,North,1,0,0,0,2,0,1,0,Four or more,0,0,0,1,1,2.322277263409696
6915,1,7,5,2,3,3,1,Male,63,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
6972,1,4,4,4,3,1,0,Male,41,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
7072,1,7,6,7,4,7,0,Female,43,Center,0,1,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
7716,1,5,4,7,5,4,0,Female,64,Center,0,1,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
5996,0,5,6,1,5,5,0,Female,54,Center,0,1,0,0,3,0,0,1,Two,0,1,0,0,1,2.055919105652042
5680,0,5,,5,5,5,0,Male,65,South,0,0,0,1,2,0,1,0,One,1,0,0,0,0,2.787888984589195
6831,1,4,7,7,4,7,0,Female,41,South,0,0,0,1,1,1,0,0,One,1,0,0,0,1,1
7151,1,3,5,1,2,4,0,Female,46,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
7346,1,6,5,7,5,5,0,Female,65,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,1
7824,1,3,5,1,3,6,0,Male,32,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,1
7553,1,3,,7,6,4,0,Male,70,South,0,0,0,1,1,1,0,0,Two,0,1,0,0,0,1
7648,1,7,6,7,6,7,1,Female,48,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,1
6779,1,6,2,7,3,7,0,Male,39,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
7162,1,4,5,5,3,5,0,Male,42,South,0,0,0,1,3,0,0,1,Three,0,0,1,0,1,1
6221,0,7,2,4,2,5,0,Male,65,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,2.245394436355249
5979,0,3,4,6,7,7,0,Male,39,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,3.324355938395891
7593,1,1,7,5,2,4,1,Female,26,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,1
6789,1,6,6,7,2,7,0,Female,30,Metropolitan Region,0,0,1,0,1,1,0,0,Two,0,1,0,0,1,1
7517,1,1,7,3,1,5,0,Male,35,Metropolitan Region,0,0,1,0,2,0,1,0,Four or more,0,0,0,1,1,1
6067,0,5,7,7,5,5,0,Male,48,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,3.186960406626688
7028,1,7,5,6,5,5,0,Male,31,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
6819,1,5,7,5,5,4,0,Male,30,Metropolitan Region,0,0,1,0,2,0,1,0,Four or more,0,0,0,1,1,1
6415,1,4,6,1,1,4,0,Female,28,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
6377,1,7,5,5,4,5,0,Female,50,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
6944,1,4,5,5,5,6,0,Female,30,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
7193,1,7,7,7,4,7,0,Male,29,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6192,0,5,6,6,6,7,0,Female,59,South,0,0,0,1,1,1,0,0,Two,0,1,0,0,1,3.056926889625518
6653,1,1,7,1,5,5,0,Female,55,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6320,1,7,6,7,7,7,1,Female,32,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6061,0,5,7,2,5,5,0,Male,45,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,2.657845529070147
7677,1,7,5,7,6,7,0,Male,63,South,0,0,0,1,1,1,0,0,One,1,0,0,0,1,1
6367,1,5,5,7,6,6,0,Female,31,South,0,0,0,1,2,0,1,0,Two,0,1,0,0,1,1
6810,1,5,5,7,4,6,1,Female,55,South,0,0,0,1,1,1,0,0,Two,0,1,0,0,1,1
5694,0,7,6,6,6,7,0,Female,64,South,0,0,0,1,2,0,1,0,Three,0,0,1,0,1,2.602882503819457
7376,1,7,7,7,7,7,1,Male,60,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6433,1,5,5,6,4,4,1,Female,49,South,0,0,0,1,1,1,0,0,One,1,0,0,0,1,1
7056,1,7,7,7,7,7,1,Male,62,South,0,0,0,1,3,0,0,1,Three,0,0,1,0,1,1
7434,1,5,7,6,7,7,0,Female,54,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,1
6217,0,1,4,7,4,4,0,Female,32,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,3.454962380877656
7413,1,5,7,7,7,7,0,Male,64,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6903,1,5,7,6,6,3,0,Male,38,South,0,0,0,1,2,0,1,0,Three,0,0,1,0,1,1
6741,1,3,3,6,4,7,1,Female,35,Center,0,1,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
5897,0,4,4,7,6,7,0,Male,70,Center,0,1,0,0,1,1,0,0,Two,0,1,0,0,1,2.67855352358932
5885,0,5,6,7,5,7,0,Male,37,Center,0,1,0,0,1,1,0,0,Four or more,0,0,0,1,1,3.113717202837492
6214,0,5,7,7,3,7,0,Female,57,South,0,0,0,1,1,1,0,0,Two,0,1,0,0,1,3.085734628405266
6234,0,1,3,7,5,5,0,Female,57,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,2.851165473686292
6788,1,5,7,5,3,6,0,Female,51,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
7625,1,6,6,7,6,5,0,Male,34,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
6971,1,5,7,7,7,7,0,Male,39,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6790,1,1,2,5,3,7,0,Male,29,Metropolitan Region,0,0,1,0,1,1,0,0,Three,0,0,1,0,1,1
5973,0,7,5,7,6,7,0,Female,44,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,2.312284292037462
7795,1,1,5,7,1,5,0,Female,60,Metropolitan Region,0,0,1,0,3,0,0,1,Two,0,1,0,0,1,1
7398,1,4,5,7,3,5,0,Female,51,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
7576,1,7,6,7,6,7,0,Male,38,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
5952,0,3,2,1,1,1,0,Female,46,Metropolitan Region,0,0,1,0,3,0,0,1,Two,0,1,0,0,1,2.30039271882254
5726,0,3,3,6,5,1,1,Male,51,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,2.397768756239705
6633,1,4,5,5,5,6,0,Male,45,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
7750,1,7,5,7,5,6,0,Female,44,Metropolitan Region,0,0,1,0,2,0,1,0,Three,0,0,1,0,1,1
6211,0,5,5,5,5,6,0,Male,42,Metropolitan Region,0,0,1,0,3,0,0,1,Three,0,0,1,0,1,2.506428297460901
6553,1,4,3,5,5,4,0,Male,41,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
6974,1,7,6,5,5,7,0,Female,49,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
5847,0,6,5,5,5,6,0,Female,60,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,2.311824838921142
7349,1,4,5,6,5,5,0,Female,37,Center,0,1,0,0,3,0,0,1,Three,0,0,1,0,1,1
5780,0,6,4,7,5,5,1,Male,83,Center,0,1,0,0,3,0,0,1,Two,0,1,0,0,1,1.922929434886148
6914,1,1,1,7,3,1,0,Male,73,Center,0,1,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
7231,1,3,6,7,6,6,0,Female,46,Center,0,1,0,0,2,0,1,0,Four or more,0,0,0,1,1,1
6318,1,3,7,1,1,5,0,Female,63,Center,0,1,0,0,2,0,1,0,Four or more,0,0,0,1,1,1
5870,0,7,7,7,6,7,0,Male,33,South,0,0,0,1,3,0,0,1,Two,0,1,0,0,1,2.823612830789304
6718,1,6,4,1,1,5,1,Female,51,South,0,0,0,1,3,0,0,1,Two,0,1,0,0,1,1
7546,1,4,7,5,5,5,,Female,60,South,0,0,0,1,2,0,1,0,Four or more,0,0,0,1,0,1
7815,1,2,3,7,1,6,,Female,49,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,0,1
6082,0,5,5,5,5,7,0,Male,48,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,2.620712942581936
7220,1,4,5,5,5,4,0,Female,34,South,0,0,0,1,3,0,0,1,One,1,0,0,0,1,1
6369,1,3,7,2,3,7,0,Female,53,South,0,0,0,1,1,1,0,0,Two,0,1,0,0,1,1
6180,0,5,6,7,5,5,0,Female,39,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,2.367145940796853
5947,0,3,5,1,4,5,0,Male,36,Metropolitan Region,0,0,1,0,3,0,0,1,Three,0,0,1,0,1,2.577958081860458
6199,0,5,5,3,3,4,0,Male,53,Metropolitan Region,0,0,1,0,2,0,1,0,Three,0,0,1,0,1,2.725087537068927
5894,0,6,5,6,6,5,0,Female,41,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,3.073339940897753
5941,0,7,6,7,6,6,0,Female,72,Center,0,1,0,0,3,0,0,1,Three,0,0,1,0,1,1.885502813751384
6541,1,1,7,1,1,7,0,Female,57,Center,0,1,0,0,1,1,0,0,Three,0,0,1,0,1,1
7356,1,5,6,7,5,6,1,Female,52,Center,0,1,0,0,2,0,1,0,Four or more,0,0,0,1,1,1
6213,0,7,7,7,6,7,1,Female,45,South,0,0,0,1,2,0,1,0,Three,0,0,1,0,1,2.84546353259292
6919,1,3,7,4,7,4,1,Male,21,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
5968,0,7,6,6,5,6,0,Male,40,South,0,0,0,1,2,0,1,0,One,1,0,0,0,1,3.134689304593556
7373,1,4,3,4,2,4,0,Female,34,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
6141,0,7,6,7,6,7,0,Male,66,North,1,0,0,0,1,1,0,0,One,1,0,0,0,1,2.5378306517451
6193,0,5,6,4,1,5,0,Male,37,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,2.204541123855332
7701,1,7,5,7,7,7,1,Female,62,North,1,0,0,0,1,1,0,0,Two,0,1,0,0,1,1
7735,1,4,6,3,3,6,1,Male,33,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
6447,1,2,7,7,4,5,0,Female,50,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
5880,0,6,5,7,5,7,0,Male,46,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,2.113427504967298
7600,1,7,5,7,5,7,0,Female,67,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
7389,1,3,7,4,4,4,0,Female,57,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
6250,0,7,6,7,7,7,0,Female,36,North,1,0,0,0,3,0,0,1,Three,0,0,1,0,1,2.071327204228265
6286,1,6,7,,4,6,0,Female,21,North,1,0,0,0,2,0,1,0,Four or more,0,0,0,1,0,1
6473,1,7,7,1,1,,,Male,61,North,1,0,0,0,3,0,0,1,Three,0,0,1,0,0,1
7091,1,7,6,5,2,4,0,Female,42,North,1,0,0,0,2,0,1,0,Four or more,0,0,0,1,1,1
6187,0,6,6,,6,7,0,Male,65,North,1,0,0,0,3,0,0,1,Three,0,0,1,0,0,1.937340841544315
7391,1,5,7,2,5,7,0,Male,49,North,1,0,0,0,1,1,0,0,Three,0,0,1,0,1,1
7660,1,5,4,7,4,5,0,Female,34,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
6748,1,6,7,7,7,7,1,Female,60,North,1,0,0,0,1,1,0,0,Two,0,1,0,0,1,1
5756,0,1,2,7,1,7,0,Female,59,North,1,0,0,0,1,1,0,0,Two,0,1,0,0,1,2.442189905132138
7166,1,6,7,7,5,6,0,Male,44,North,1,0,0,0,3,0,0,1,Three,0,0,1,0,1,1
6539,1,7,,,5,7,0,Female,78,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,0,1
6727,1,5,1,1,6,7,0,Female,47,South,0,0,0,1,2,0,1,0,Two,0,1,0,0,1,1
7440,1,7,6,7,6,7,0,Female,39,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6667,1,2,6,6,2,5,0,Female,63,South,0,0,0,1,1,1,0,0,Two,0,1,0,0,1,1
6626,1,7,5,7,3,7,0,Male,55,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6307,1,7,6,7,6,7,0,Female,49,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
7077,1,7,7,6,4,6,0,Male,31,South,0,0,0,1,3,0,0,1,One,1,0,0,0,1,1
5738,0,3,4,1,4,3,,Female,55,South,0,0,0,1,3,0,0,1,Two,0,1,0,0,0,2.376692569150724
5723,0,5,3,1,2,3,0,Female,59,South,0,0,0,1,3,0,0,1,Three,0,0,1,0,1,2.327602555827111
6354,1,4,5,1,1,7,0,Male,34,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
6365,1,5,6,6,3,5,0,Male,65,Metropolitan Region,0,0,1,0,3,0,0,1,Three,0,0,1,0,1,1
5960,0,5,7,7,4,5,1,Female,27,Metropolitan Region,0,0,1,0,2,0,1,0,Four or more,0,0,0,1,1,2.866788876807442
6177,0,3,4,3,3,4,0,Female,40,South,0,0,0,1,3,0,0,1,Two,0,1,0,0,1,2.5499074866654
6425,1,1,7,6,7,7,1,Female,50,South,0,0,0,1,3,0,0,1,Two,0,1,0,0,1,1
7058,1,7,5,7,5,5,0,Male,56,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,1
6570,1,4,7,5,5,5,0,Female,41,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
7133,1,4,7,7,7,7,0,Male,41,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6436,1,7,7,7,7,7,0,Female,56,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,1
6821,1,2,7,7,5,6,1,Female,17,Center,0,1,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
6225,0,5,6,7,5,6,0,Male,42,North,1,0,0,0,2,0,1,0,Two,0,1,0,0,1,2.475701164102023
7206,1,7,4,7,4,7,0,Female,43,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
6955,1,3,6,7,5,7,0,Female,70,North,1,0,0,0,2,0,1,0,Two,0,1,0,0,1,1
7522,1,1,7,1,1,7,0,Male,39,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
7700,1,7,7,7,6,7,0,Male,28,North,1,0,0,0,2,0,1,0,Two,0,1,0,0,1,1
6442,1,2,5,6,6,4,0,Male,52,South,0,0,0,1,1,1,0,0,One,1,0,0,0,1,1
6446,1,4,4,6,4,3,0,Female,57,Metropolitan Region,0,0,1,0,1,1,0,0,Three,0,0,1,0,1,1
7237,1,2,7,5,4,5,0,Female,44,Metropolitan Region,0,0,1,0,2,0,1,0,Three,0,0,1,0,1,1
6313,1,5,6,7,5,7,1,Male,69,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,1
6337,1,4,6,5,4,5,0,Female,34,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
6463,1,4,6,6,5,6,1,Female,57,South,0,0,0,1,2,0,1,0,Three,0,0,1,0,1,1
6283,1,7,7,7,7,7,1,Male,36,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
7694,1,6,6,4,4,5,0,Female,46,South,0,0,0,1,2,0,1,0,Four or more,0,0,0,1,1,1
6713,1,7,7,5,6,7,0,Female,60,South,0,0,0,1,3,0,0,1,Two,0,1,0,0,1,1
6402,1,7,6,7,3,7,,Male,25,Center,0,1,0,0,2,0,1,0,Four or more,0,0,0,1,0,1
6301,1,6,7,7,5,5,0,Male,49,Center,0,1,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
7805,1,4,6,1,1,3,1,Female,48,South,0,0,0,1,3,0,0,1,Three,0,0,1,0,1,1
7344,1,7,6,6,7,7,0,Female,62,South,0,0,0,1,1,1,0,0,One,1,0,0,0,1,1
6483,1,7,4,7,3,7,0,Female,72,Metropolitan Region,0,0,1,0,1,1,0,0,Two,0,1,0,0,1,1
6842,1,5,7,7,5,6,0,Male,55,Metropolitan Region,0,0,1,0,1,1,0,0,Two,0,1,0,0,1,1
7115,1,5,5,7,6,6,0,Male,50,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
7725,1,5,5,4,4,6,0,Male,28,Metropolitan Region,0,0,1,0,3,0,0,1,Four or more,0,0,0,1,1,1
7480,1,7,,7,2,2,1,Female,61,Metropolitan Region,0,0,1,0,3,0,0,1,Two,0,1,0,0,0,1
6078,0,6,7,6,6,7,1,Male,66,South,0,0,0,1,2,0,1,0,Four or more,0,0,0,1,1,2.757320810587891
7661,1,3,7,6,5,4,0,Male,26,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
6519,1,5,7,7,3,4,0,Female,30,South,0,0,0,1,3,0,0,1,Two,0,1,0,0,1,1
5696,0,5,5,5,5,6,0,Female,57,South,0,0,0,1,2,0,1,0,One,1,0,0,0,1,2.701134245236405
6311,1,5,5,,7,7,0,Female,24,South,0,0,0,1,3,0,0,1,Three,0,0,1,0,0,1
7614,1,1,4,7,5,6,0,Male,52,Metropolitan Region,0,0,1,0,3,0,0,1,Three,0,0,1,0,1,1
7749,1,1,7,7,6,7,0,Female,41,Metropolitan Region,0,0,1,0,3,0,0,1,Three,0,0,1,0,1,1
5902,0,4,4,1,2,3,0,Female,30,North,1,0,0,0,3,0,0,1,Two,0,1,0,0,1,2.134943637525046
5691,0,5,5,7,6,7,1,Female,37,North,1,0,0,0,2,0,1,0,Four or more,0,0,0,1,1,2.3551813483753
6077,0,4,5,7,4,4,0,Male,36,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,2.21490429696092
7357,1,5,6,5,5,5,0,Male,28,North,1,0,0,0,3,0,0,1,Three,0,0,1,0,1,1
6055,0,6,6,6,4,4,0,Male,23,North,1,0,0,0,3,0,0,1,Two,0,1,0,0,1,2.364107042883762
7435,1,3,5,5,5,7,0,Male,67,North,1,0,0,0,1,1,0,0,Four or more,0,0,0,1,1,1
7182,1,7,7,7,6,7,0,Male,45,North,1,0,0,0,2,0,1,0,Three,0,0,1,0,1,1
5871,0,4,6,6,7,4,0,Female,34,North,1,0,0,0,3,0,0,1,Two,0,1,0,0,1,2.095266985295247
7676,1,7,4,7,3,6,0,Male,20,North,1,0,0,0,3,0,0,1,Four or more,0,0,0,1,1,1
7768,1,3,5,6,6,4,0,Male,29,South,0,0,0,1,3,0,0,1,Two,0,1,0,0,1,1
7190,1,6,7,6,5,7,0,Male,36,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,1
6665,1,4,3,7,7,7,1,Female,65,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,1,1
6615,1,7,,5,5,6,0,Female,50,South,0,0,0,1,1,1,0,0,Three,0,0,1,0,0,1
7482,1,4,7,5,3,5,1,Male,49,South,0,0,0,1,3,0,0,1,Four or more,0,0,0,1,1,1
7186,1,5,5,5,5,5,0,Male,60,Metropolitan Region,0,0,1,0,3,0,0,1,Two,0,1,0,0,1,1
7417,1,7,7,7,6,7,0,Male,60,Metropolitan Region,0,0,1,0,1,1,0,0,Four or more,0,0,0,1,1,1
6269,1,1,7,7,1,4,,Male,60,South,0,0,0,1,2,0,1,0,Two,0,1,0,0,0,1
5877,0,7,7,7,6,7,0,Male,51,South,0,0,0,1,2,0,1,0,Four or more,0,0,0,1,1,2.958276164665573
6176,0,5,5,6,6,7,0,Male,50,South,0,0,0,1,1,1,0,0,Four or more,0,0,0,1,1,3.402553945344585
7178,1,1,5,4,4,6,1,Male,51,South,0,0,0,1,1,1,0,0,One,1,0,0,0,1,1
7361,1,4,6,7,6,5,1,Male,71,North,1,0,0,0,1,1,0,0,Two,0,1,0,0,1,1
